Uso;Tipo;DescripcionGeneral;TieneConstruccion;CalcNivelPiso;TipoCalificacion;DescripcionUso;DescripcionTipo
1;30;Residencial - Unifamiliar (1 A 3 Pisos);True;True;R;Residencial;Unifamiliar (1 A 3 Pisos)
1;31;Residencial - Multifamiliar (4 Pisos En Adelante) ÿUsado;True;True;R;Residencial;Multifamiliar (4 Pisos En Adelante) ÿUsado
1;32;Residencial - Conjunto Residencial Unifamiliar Usado;True;True;R;Residencial;Conjunto Residencial Unifamiliar Usado
1;35;Residencial - Multifamiliar (4 Pisos En Adelante) Nuevo;True;True;R;Residencial;Multifamiliar (4 Pisos En Adelante) Nuevo
1;36;Residencial - Conjunto Residencial Unifamiliar Nuevo;True;True;R;Residencial;Conjunto Residencial Unifamiliar Nuevo
1;37;Residencial - Multifamiliar (4 Pisos En Adelante) Progresivo;True;True;R;Residencial;Multifamiliar (4 Pisos En Adelante) Progresivo
1;39;Residencial - Finca De Recreo;True;True;R;Residencial;Finca De Recreo
1;40;Residencial - Casa Cural;True;True;R;Residencial;Casa Cural
2;55;Comercial Y Servicios - Patio Operativo ÿO Zona De Parqueo (N.P.H);True;False;NO;Comercial Y Servicios;Patio Operativo ÿO Zona De Parqueo (N.P.H)
2;56;Comercial Y Servicios - Centro Comercial Recesi¢n;True;True;C;Comercial Y Servicios;Centro Comercial Recesi¢n
2;57;Comercial Y Servicios - Hoteles Y Moteles En Transici¢n;True;True;C;Comercial Y Servicios;Hoteles Y Moteles En Transici¢n
2;58;Comercial Y Servicios - Oficinas Y Consultorios En Recesi¢n;True;True;C;Comercial Y Servicios;Oficinas Y Consultorios En Recesi¢n
2;59;Comercial Y Servicios - Cancha Sintetica (R.P.H);True;True;C;Comercial Y Servicios;Cancha Sintetica (R.P.H)
2;60;Comercial Y Servicios - Local Unifamiliar Transici¢n;True;True;C;Comercial Y Servicios;Local Unifamiliar Transici¢n
2;61;Comercial Y Servicios - Local Unifamiliar;True;True;C;Comercial Y Servicios;Local Unifamiliar
2;62;Comercial - Hoteles Y Moteles Unifamiliar;True;True;C;Comercial;Hoteles Y Moteles Unifamiliar
2;63;Comercial Y Servicios - Oficinas Y Consultorios Unifamiliar;True;True;C;Comercial Y Servicios;Oficinas Y Consultorios Unifamiliar
2;64;Comercial Y Servicios - Oficinas Y Consultorios Unifamiliar Transici¢n;True;True;C;Comercial Y Servicios;Oficinas Y Consultorios Unifamiliar Transici¢n
2;65;Comercial Y Servicios - Cancha Sintetica (N.P.H);False;False;NO;Comercial Y Servicios;Cancha Sintetica (N.P.H)
2;66;Comercial Y Servicios - Locales Guayaquil;True;True;C;Comercial Y Servicios;Locales Guayaquil
2;67;Comercial Y Servicios - Locales Candelaria;True;True;C;Comercial Y Servicios;Locales Candelaria
2;68;Comercial Y Servicios - Areas De Circulacion ÿN.P.H;True;True;NO;Comercial Y Servicios;Areas De Circulacion ÿN.P.H
2;40;Comercial Y Servicios - Locales;True;True;C;Comercial Y Servicios;Locales
2;41;Comercial Y Servicios - Centro Comercial En Auge;True;True;C;Comercial Y Servicios;Centro Comercial En Auge
2;42;Comercial Y Servicios - Almacenes De Cadena;True;True;C;Comercial Y Servicios;Almacenes De Cadena
2;43;Comercial Y Servicios - Hoteles Y Moteles;True;True;C;Comercial Y Servicios;Hoteles Y Moteles
2;44;Comercial Y Servicios - Oficinas Y Consultorios;True;True;C;Comercial Y Servicios;Oficinas Y Consultorios
